@relation 'C__Users_GHANSHYAM_Desktop_Project_reviews Segregated-weka.filters.unsupervised.attribute.Remove-R2'

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'The crowd is mainly composed of academically underachieving students who can easily be described as bland - absolute lack of enthusiasm. Ratio of girls to boys is a pathetic 4:1 ',neg
'Quite awful, to be honest. Only the top six or seven students in B.Sc. (IT) get placed, that too with packages of only 1.2 lac per annum. Other branches get no placements. It\'s quite bleak here. ',neg
'To quote a student, ‘You cannot hang out in Airoli!’. Students have to travel all the way to Nerul, Vashi and Kharghar for a typical mall hangout. ',neg
'The crowd is good & the campus is a bit small almost negligible and the small thing which I don\'t like abt it is the time management..we have to fill up all kinda forms during lectures. There is no separate time given for that and probably we have to miss a lec to do these things. ',neg
'crowd is concerned, let me tell you that your residential proof isn\'t your decency certificate. Anybody can create nuisance. That is why we have a slightly \'tighter\' security. and those complaining about infrastructure weren\'t blindfolded before taking admission here and spending thousands (and also lakhs by a handful). ',neg
'This college is only for Gujaratis and not for others......so non-Gujaratis please think twice before you Apply...to this college.... ',neg
'professors tell students to come for their private tuitions at evening and dont even care of lectures in the college...thats what most students say about this college.. ',neg
'If you want to get to the college, ask the rickshaw wala to drop you at Cooper Hospital, they don\'t know this college by name. ',neg
'The canteen’s look is not that great but the food is quite good & cheap. For those whose taste buds are accustomed to Chinese cuisine, this place is heaven. However, lack of seating facility doesn’t make the experience a good one, especially if you enter the canteen around the peak time. There’s little space to move and the temperature has nearly doubled! ',neg
'The so called \"New and Better\" canteen is very bad, Food items are overpriced and usually uandercooked. ',neg
'full of sad and non fun loving people....they consider bunking as a mortal sin and teachers as live GODS....if you are a fun loving person this place will turn you into the saddest place on earth.....and people fron the western suburbs...stay away from this \"military school\" ',neg
'All the good reviews received are probably fake... I hope the admins of this website take note and hence forward do not allow anonymous reviews... I believe that the college authorities are giving all the good reviews and positive votes for the reviews and same goes for the negative votes for a bad review... they college doesn\'t give a damn about your future if you score below 70\%... if you were ill and are in the defaulters list they will just say that health is important and ask you to take the semester off and waste an year of your life...if you have 2 kts they humiliate you and your parents and say that you are not fit for engineering...they take REVIEWS about the professors from students just for the sake of making a list of students to harass... in the sem of may 2013 in mechanical engineering one professor was appointed who had just passed his b.e. and when each and every student gave a bad review no one did anything but the HOD gave him the permission to coanduct vivas for the semester and he gave 20 people kt for revenge and then as he had no guts ran off to the US... I hope this is a proof that they don\'t care about your future...and lastly placements it is good for comps but in mech it is 10\% and extc just the IT companies give jobs and not their stream... ',neg
'As far as the Mechanical Department is concerned, the college sucks big time. Only a few handful teachers actually know their subject. ',neg
'Mediocre. No support whatsoever from the management as far as sports are concerned. A little here and there sometimes to show they are concerned. It does have a very well maintained ground, but that\'s that. ',neg
'Quite strict on this front. 60\% attendance is recommended. Parents are called to meet the teachers and extra assignments are given to the defaulters. ',neg
'Why is this college in Kurla when it is near Vidyavihar station? Not at all suitable for students in Navi Mumbai. Waste of too much time. ',neg
'Never go for this college!Too much pressurisation (which does not happen in any other colleges) ',neg
'Students claim that the college authorities try to scare them off with warnings and empty threats in the first year. Although a few students fall for it, the bolder lot don\'t really care and finally manage to escape. In the later years, the students themselves attend whatever they love to (in architecture, that covers atleast three-fourths of the lectures). Again just like a typical architecture college, submissions need to be on time - relaxations are given but marks honoured are equally lesser. ',neg
'There\'s no canteen dedicated to the architecture college in particular but there are two canteens shared by all the colleges in the campus - the newly renovated law college canteen and the old and popular medical canteen. Apart from that students here munch on the delicacies which their hotel management colleagues have cooked. ',neg
'Canteen is worst you will only get tea, coffee, vada pav, samosa and spring roll (occasionally). That\'s it. ',neg
'Euphoria is the cultural festival of Fr. Agnel College of Engineering held in even semesters and \"Crescendo\" is the technical fest held in odd semesters. The college is not very supportive for the fests which disappoints students and they lose interest in conducting them. Hence little participation is seen in the fests. ',neg
'yes/// last year google did come but did not pick even one student from college its a just a name given in the placement of college/// ',neg
'PhD holders in this college actually teach worst where as the freshers teach better ',neg
'I thought I would learngreat stuff here create softwares but I sit all day long by hearing text books and at the eand of the sem the teacher says you didn\'t tellme the definition from this text book. Yes tech max is a bible you people seriously expect us to read 1000-1500 pgbooks in 3 months with weekly exams and assignments and projects and monthly exams then get a life. Forcing attendance over us to sit for your lectures is like saying that I will kick your ass you if you don\'t attend and even if you do I will kick your butt later on. We can learn on our own we don\'t need your help, if we need it we will ask. and not that we hate projects but come one if you keep projects involving only theory then damn sure we are fed up.and if we want to do something different the great HOD says you won\'t get attendance and if you fall low on it you have to write 70+ pages of assignments as a punishment and I am like are you crazy. WORST MISTAKE OF MY LIFE TO JOIN FR.CRCE it\'s a thug college nothing more to say. Never recommeanding it to anyone ever.MORAL : DON\'T DO THE MISTAKE OF JOINING CRCE UNLESS YOU WANT TO SPOIL YOUR LIFE. ',neg
'Computers in this college are very slow with wiandows 98 OS and with huge dabba type monitors ',neg
'Attendance at Fr CRCE is quite strict. It has to be maintained above 75\% no matter what. No grace attendance given even for students participating extra-curricular. Every week attendance is checked. If the weekly attendance is less than 75\% then the student won’t be allowed to attend the lab sessions. Long procedure to be followed if name appears in defaulters. Parents are called and lengthy assignments are given as punishment. It is not a place to be in if you want to bunk too much! A lot of students even call it a JAIL. ',neg
'It is quite congested, food is edible but not to suit the taste buds. It is often unhygienic and extremely oily. Students have tried to change it by writing many letters but all in vain. Most students prefer dabba they bring from their home over canteen. ',neg
'IT/Comps Faculty are very bad and they\'re charging such high fees for this. ',neg
'A pretty new management college on Koparkhairane. Hmmm. What do you expect? The lowest CET scorers end up here, and theres nothing too impressive about them. The crowd isn\'t bad or anything, it\'s just slightly... Lifeless. ',neg
'GIMSR hosts intra-college sports days and annual days, but that\'s about it. Some bands perform once in a while during some of these Days, but it\'s not much. ',neg
'As for placements, well, the less said the better. Yes, it\'s a new college, but the placement record is quite awful, really. About twenty percent of students manage getting job offers, and even then the average packages are nothing above 2.5 lac per year. Companies like Amul, Hindustan Times have (allegedly) picked up students from here. ',neg
'It\'s closed!! Perhaps because most students bring their own tiffins to college and there are few takers of the canteen food, thus it\'s not favourable for any of the contractors. ',neg
'Absolutely no support from the college. Students have to hunt for jobs on their own or opt for higher studies. ',neg
'However one can develop stress if his/her attendance is below the mark as the college is strict in this aspect. The university norm is 75\% but college expects its students to go beyond that and maintain at least 80\%. If it falls short of that your internal marks may be deducted. ',neg
'Unbearable teaching...do NOT be dependent on them at all! Majority of them are visiting staff. Only a handful of them are dedicated. Also, with the new principal, the college has become stricter and more discipline is expected from students. ',neg
'Bad! Bad! Bad! There are 2 canteens, one on the 4th floor and another on the ground floor, which is the sarvajanik canteen (common for architecture, management, event management, school kids and outsiders). The 4th floor canteen is just like the pantry car of the Indian railways. Chips, cold drinks, samosas, vada pav and cutlets are available there. The sarvajanik canteen which should be merely 30sq.m., provides all variety of food. But the food is not that great. ',neg
'The placements are mismanaged. Companies coanducted interviews but hardly took anyone even though students know they did well in interviews. ',neg
'college isnt that good...especially the teaching staff is rude and monotonous..placement officer is an highly uninterested person...nw may will dislike this comment but its the truth... ',neg
'I\'m in Comps. I learn more from YouTube tutorials than I learn in lectures. ',neg
'A very poor faculty...its hard to connect with them...no practical knowledge...just about marks...please stay away from it :-( ',neg
'the lowpoints about this college are its infrastructure and its place of location. ',neg
'there is no regular water supeopley in washrooms! ',neg
'train frequency on central line is very very poor !!trains are always 10-15 late than the scheduled time ',neg
'They have festivals every year sometime in December. Though the fests don’t really have a name as such, they are quite popular and well-participated-in. ',neg
'although faculty rocks but for serious archi studemts... this ain\'t the place... ',neg
'Although the building of Kamala Raheja College of Architecture is nothing special, students are full of praise for the infrastructure. There are no ‘classrooms’ as such, just massive halls where everyone can see everyone and that\'s exactly the kind of space, future architects would need, isn\'t it ?The library is top-grade; students say that it’s one of the best architecture libraries in the city. No part of the college is air-conditioned, but it’s quite well-ventilated (Architectural studies put to work...) ',neg
'As is the case in almost any architecture school, attendance is pretty strict. Students are expected to maintain a minimum of 75\% attendance, failing which strict action is taken. Very often students get year drops if attendance falls below 60\%. ',neg
'Not something to be very proud of, in short. There is a ‘canteen area’, but there are no tables, few chairs, and not much more. The food isn’t great, and the pricing isn’t reasonable. In spite of that, Raheja-ites love their canteen and spend hours and hours on the floor chit-chatting. ',neg
'Sadly, there are no festivals in Welingkar MBA college but round the year there are some or the other events that take place which keeps the students quite occupied with their extracurricular activities. ',neg
'they are not upto the average mark but still ask a heavy donation.. its lame ',neg
'THE PROFFESOR is not completely matured.they always keep on calling parents for silly resoan. we feel that we are in school not in Engineering college. ',neg
'The road to the white tall building LR Tiwari Engineering College is under construction. Moreover, it’s pretty bad and dusty. The infrastructure is decent enough. As the college is newly constructed, it has modern infrastructure with all amenities. The labs are well equipped and classrooms are well ventilated. Classrooms are spacious and benches are comfortable. All the laboratories are air conditioned. Library has plenty of books. Washrooms, most of the time, are clean. The college is enabled with a wifi connection though often there are restrictions to use it. ',neg
'Students say that 75\% is compulsory and LR Tiwari follows it religiously. Falling short of attendance will cost you loads of assignment work and sometimes fine (yeah, monetary fine). For terribly low attendance, parents are called. It’s advised to attend lectures regularly unless you share an excellent rapport with the respective teacher. However, there has never been a case of detainment or year back due to attendance. Moderately strict college as far as attendance is considered. ',neg
'The terribly bad location is a big turn off when it comes to hangouts. Restaurants like CCD, Pizza Hut and Chilliza have opened up recently and there is also your hot favourite McDonald’s which is at a mere 15 minutes walking distance. The roadside foodstalls, farsan shops and a few restaurants just outside Mira Road station are generally the hotspot destination for LR Tiwari-ites. ',neg
'Old faculty is fine but young faculty is less experienced; they are just passed out students. They are of full of attitude and they always discourage the students.Teaching is also not that good. It is ok ok. ',neg
'College is very understanding about attendance has decreased the threshold to 60\%. But if you fail to keep even this much then you’ll be in for serious trouble and course of action taken against you may range from doing extra assignments to a year drop. So better be careful about it. ',neg
'Canteen is very bad you won\'t get any variety of food. As compared to food the cost is very high. college students prefer to eat outside. ',neg
'Attendance is a very big issue here since the principal has changed. No matter what each and every day needs to be attended with your respective submissions. COME WHAT MAY!!! ',neg
'The canteen seems to have a good crowd round the clock during college hours. Food is quite cheap and tasteless too!!!!People are mostly seen completing their submissions rather than having food…this speaks itself how the canteen is… ',neg
'1,00,000+ fees, No Gymkhana, No ground, Non-hygenic canteen, None of the lift works except exam time, college takes money for gymkhana + college i-cards and so on, doesn\'t issues cards and there isn\'t any gymkhana at all... None of the equipments of the labs work... EXTC is worst... This college is only money making collegege... ',neg
'No waters in washroom ...leakage and dirty washrooms... Practicle building is ok... no campus at all now ....basket ball quort withot basket..... dirty washrooms... no one to clean washrooms.... Faculty are ok ...Please visit both the buildings ,washroom, and canteen before admission or else.. you will cry ',neg
'They are real strict about the attendance here..!! ',neg
'Very unhyginic place..canteen on basement which is dirty. ',neg
'and let\'s face it, the canteen is pretty awful. The Biriyani is particularly good and is a favorite amongst my friends and I. ',neg
'Only biomed branch is in a slightly better position..they had decent placements...that too just one company! Other branches like IT & COMPS had companies (and by companies I mean just 2 of it) coming..but no one got placed...and rest all other branches...well they didn\'t even have a company coming!! ',neg
'Teachers...yes they are all themselves studyin..are frshers...& don\'t even bother to take lectures ',neg
'This college fees are a lot more according to the facilities, faculty, infrastructure, etc. which students want but dont get in this college. Rather, my advice is take admission in Terna, RAIT, BVP which have lesser fees and yet fulfill student\'s requirements at least. ',neg
'The 1st words that come to my miand are pathetic and wasteInfrastructure-its uander construction will always remain same way do not expect anything places stinks there won\'t be any improvement whatsoever ',neg
'Students with exponentially decreasing attendance figures such as 30\% to 3\% to 0.3\% have been found to get away easily. So no problems on this front. “Just produce a fake medical certificate and it’ll do the work for you”, says one of their student. ',neg
'The bus service sucks..u dont get a railway concession on time. ',neg
'Well MGM has worst canteen i have ever experienced.. ',neg
'Mumbai Educational Trust for Pharmacy is quite strict in terms of attendance. Students have to maintain 75\% compulsorily. If they fall short of the attendance, the portion is doubled for periodic tests. For extremely low attendance, parents get a phone call and are often seen in the Principal’s office. ',neg
'Usually you hear, ‘Mam/Sir, may I come in’. Well, in Majithia College the scene is reversed. Most of the times, the class is jam packed but the professor is either absent or late. Moreover, the teaching is also okay! Even though most of the communication takes place in English, this ‘late coming’ habit of the professors is a regular complain. ',neg
'There are no recruiters for BCOM students but BIF students are the lucky ones as HDFC Life saves their life. ',neg
'As rightly said by a group of Majithia students, ‘If you don’t get admission anywhere, then ONLY come here. Hum toh yahan phass gaye!’ ',neg
'the institute is run by narrow mianded gujju trust ',neg
'Niranajana Majithia College of Commerce is a 3 storey building with an extremely small campus. The library of this college is just about Okay with books not available sometimes. The classrooms are decent and BMM and BIF students get the liberty to use air conditioners. There is no facility for internet in the college. ',neg
'The attendance in Majithia College is not at all strict. Even though the authorities mention ‘75\% compulsory’, most of them fall in the late 40’s, sometimes late 30’s also. Yes, the attendance for TYBCom is pretty strict but rest of the students are habituated to freedom. ',neg
'In one word, BAD! The canteen is less spacious and does not serve tasty food. Though the prices of the items in the canteen are affordable, students demand good and delicious food. A big ‘thumbs down’ to the canteen of this college. ',neg
'You ask any Majithia student related to hangouts and the first word you hear is ‘Raghuleela Mall’ in Poisar. It’s a hot favourite hangout for students of this college. Students prefer to go for movies in Grovels (Kandivali East) and Cinemax outside Kandivali station. The college lacks local hangouts. ',neg
'The Management of the college is useless, no one is ready to take responsibilities. I would say they are running this college just to make money. ',neg
'The professors aren\'t out-of-the-box fantastic but they aren\'t intolerable either. Mediocre faculty, one can say, which the students can\'t really complain about. ',neg
'It\'s almost as if it\'s absent - a small shed somewhere around the backyard of the college. Food is not preferred by the students here, neither is its ambience. It\'s best to avoid it. ',neg
'The less said the better. The lecturers are missing half the time and complete their portions in haste later on. Students without personal coaching often find themselves in trouble. ',neg
'college campus is dirty. Obviously a MAWALI crowd is present troubling many of the girls in the college. ',neg
'Cultural fest or any other event in this college is done on just name sake basis. You cannot enjoy in this college. ',neg
'Eligible students are offered placements at some of the best companies like Essar, Polaris, HCL, LG, Sahara. The salaries offered are from 1.8 lakh to 3.3 lakh per annum with an average of 2.46 lakh p.a.. Unfortunately, though, not too many students are eligible. ',neg
'Some professors are very rude and strict and threaten students to fail. ',neg
'The construction of college is accused to be illegal. They are fighting in court. ',neg
'Attendance used to be really lenient for the previous years. Owing to the change in the management and principal roping in, the attendance has become pretty strict. Students are asked to attend 75\% of the lectures failing which term marks will be reduced, loads of assignments will be burdened on your shoulders, and for worst cases, parents will be called. ',neg
'Real bad! You would torture your taste buds. I\'d rather prefer skipping my meal than to even dare step into the canteen of Vasantdada Patil College of Engineering! The Chinese food is edible if at all you have to have your meals in there. ',neg
'The faculty of Patkar College is quite average. While most of the professors are MSc’s, a few of the professors don’t have complete knowledge regarding the subject. Lecturers usually communicate in English but most of them use regional languages. Also, the science faculty is pretty strict when it comes to submissions. Commerce faculty, too, is not something great to look for. ',neg
'Faltu college....Please avoid this collegeYour life will be hell... ',neg
'Patkar College is quite strict when it comes to attendance. Though 75\% is compulsory, sometimes 60-65\% is also tolerated. Below this mark, either parents are called or the student are harassed during submissions. ',neg
'BSC and BMS students get placed. Unfortunately, there aren’t any companies recruiting the BMM kids. ',neg
'A major issue here is the hangouts, or rather the lack of them. Most people end up driving to Karnala or Lonavala, both of which are half an hour away. Chilling at Kharghar is an option too, but there’s not a hell of a lot to do there either. ',neg
'NO HANG OUT PLACES AT ALL IN 15KM RADIUS, so if you are thinking of bunking then plan a complete day out instead of coming to college & then bunk for entire day. ',neg
'Sports events,Fest and everything is organized with students\' money.The college doesn\'t provide funds for it.Nobody attends the fests anyway..haha. ',neg
'college is ok in terms of cleanliness .strict fr first yr and teachers trouble like hellhole in first sem.fst yr timing iz 730-230 so frget that you can sleep well and cm fr college.fst sem result fr yr2010-2011 batch waz 6\% so you can imagine thecoandition.most fascinatng thing about college iz every things white i.e.white boards ,white tiled college ,n superstar ceo who wears white shirt ,pant and even white shoes.comps it facult\'z good but profs of mech are worse dan ever who cannot ctrl der ego.hf a dozen of lifts in college of which only 2 are working.bt der is full freedom fr students.log sheher se gav (new pnvl)ate hain padne ke liye,people say. ',neg
'this college is only for tp no help from seniorsteachers only value for student who are malayalam ',neg
'75\% attendance is must ..no saturday off ',neg
'canteen food is not all affordable !!! ',neg
'Attendance here is very strict, students are expected to maintain 75\% compulsory, failing which they are start losing out on internal assessment marks and in extreme cases even “failed”. ',neg
'About hangouts... Really? In Ghansoli? You have to go to Vashi to find something to do, and anyway the students here aren\'t the \'hanging out\' type. ',neg
'Placements....hmmm. Very few companies show up. Very, very few students get placed. Packages are very, very, very low. ',neg
'If you\'re actually considering this college, you probably don\'t have much of a choice. Best of luck. ',neg
'Faculty at Rajiv Gandhi Institute of Technology (RGIT) in general is average. Some professors have no clue of the subject at all. There are a handful of professors who have requisite knowledge to be there teaching you. Students have accepted the chalta hai attitutde and thus the staff over the years has been the same and less bothered. ',neg
'computers professors are worst,they know handful of things, with which they will play merri-go-rouand. Mostly are M.E students. ',neg
'infrastructure is owesome.....but too much traffic problem....great issue is that no hostel facility.... ',neg
'This college is too strict about attendace. if your attendance is low dan 75\% dey call your parents for meeting . ',neg
'Only drawback is its teaching faculty, so you need to study on your own. ',neg
'Deadlines everywhere..teachers will trouble you to death... ghanta fest.. they stop the artists from performing beyoand 9 pm... as strict as Agnels NOW... one of the most depressing places in Navi Mumbai..RAIT! booo!People are depressing too.. first years are involved in lot of politics too! ',neg
'Very strict. You have to have 75\% attendance. ',neg
'Worst college in the whole world If you are thinking to get admission in it please change your miand. ',neg
'Now, we found this a little disappointing but certainly not the worse in Mumbai. The classrooms have 2 air conditioners each. The labs are less equipped with apparatus; some are faulty and some aren’t even there. There’s no college ground but there are lots of public grounds nearby for sports enthusiasts especially cricket which beats in every Rizvites heart. The toilets often stink; so it is advised that you finish off your stuff at home. The infrastructure is improving though. ',neg
'As said before you can perform well by taking advantage of low attendance criteria (avg 30-40\%) & placements are less, as low number of students are eligible. ',neg
'Attendance is strict and professors are said to taunt irregular students. Everyone has to have over 80\% attendance or the compensation is extra assignments. ',neg
'festival is the biggest let down . The worst college in navi mumbai . ',neg
'Not too great, with about 30\% of the students getting jobs. Wipro is a major hirer. ',neg
'no ground in this college...uhh..i dont like it!! ',neg
'No problem of attendance(paper deneko aaye to bahut hai)... ',neg
'Lot of travelling problems to the college makes student annoyed everyday. ',neg
'Crowd is not at all friendly, everybody is egoistic and not helpful, crowd is a biggest let down, not attending a lecture is sin for them, personally I feel that this college is an average college just enjoying the name and fame of SP tag, students are as good as donkeys, every single person in this college is a nerd ',neg
'Not the best college but better college than VJTI... good placement.. ',neg
'MCA department is strict NO NO.Poor treatment, unskilled and partial faculty.Students are directionless, demotivated and confused.choosing MCA will not at all be a wise decision. ',neg
'Do not take admissions in S.P.C.E. specially in Mechanical branch because all the good and talented faculties have left the college ',neg
'Saraswati Education Society’s Group of Institutions Faculty of Engineering is not all that strict in terms of attendance. Although they initially insist for 75\% but relax it to 50\% later on. Below which parents are called for if the requirement is not met with. The term work marks also get affected due to a lack of attendance. ',neg
'The canteen is yet to make its presence felt among the students. The quality of food keeps most of the students away. Even if they do happen to step into the premises occasionally (to eat Chinese food which is somewhat edible) there is no place to sit due to a lack of seating arrangement. ',neg
'ABOUT ateandence they are very strick this is the worst college I ever seennnnnnnnnnnnn ',neg
'Being a girl I would suggest other girls DONT TAKE ADMISSION HERE. Many seniors esp boys are mannerless and dont know how to behave in front of girls. ',neg
'Placement is a very disappointing department of Shivajirao Jondhale college. Placement cell is there but it is as good as non-existent. There are no on-campus placements as such, but college arranges group campus with other colleges. College also helps students in developing soft skills by arranging some seminars. ',neg
'when i was in BE that one mam concern with placements...she just did timepass....no placements, no companies nothing...now we 60-70 students are totally Jobless ..>:( i love my college life because of friends but really hate due to bad management of college ',neg
'Well, if you stay in central suburbs and have a below average score, you can expect to join Shivajirao Jondhale College of Engineering. The location, placements and the crowd gives it a thumbs down! ',neg
'I passed out from this pathetic college long back arouand 10 years now... and I had taken an oath that i would never see this campus. we were among the first few batches where college was just opened and it was in horrible state. Other than Engineering drawing, in my 4 years study, I couldnt find a single person whome I can call sir from bottom of my heart. Absolutely waste quality. One professor used to teach Microprocessor and used to give marks based on number of pages answer written. No jokes folks that was the case. One person used to force to attend his private coaching. Hope he is not there now. I feel ashamed of saying my college name in my organisation. My suggestion is that if you dont get any college then keep this as last priority as it is coming uander Mumbai university. Placement was 0 at that time. you have to literally hop in rainy days to reach that barren land. ',neg
'some teachers are hopeless..like Some female teachers always comments on Students dress up..i have my own experience ..they don\'t have fashion sense so they goes mad when see any girl in fancy dress...many teachers do partiality in term work...1 teacher is from computer branch ..seriously he is headache ',neg
'no good placements in college. Very few manage to get decent package. Rest get very small salary package while most of them have to find jobs in off campus interviews. So if you have a decent score don\'t even think of this college. and if you want good placement then stay away from this college. ',neg
'Some faculties here are either crack or have just come for money. If somebody is good then it is the office staff. Otherwise it depends on mood of these teachers. ',neg
'Not recommended for anyone travelling too far as it won\'t be worth it. However, for below average scorers & low scoring students staying in Thane or Navi Mumbai, it isn\'t bad option to settle for either. \"You get in here, obtain your degree without much interference from the college and get going\", that\'s what a student has to say. ',neg
'guys it\'s true.. it is one of the worst colleges.. please don\'t ever come.. don\'t even think of considering it during your cap process.. it has only negative points.. worst teachers, pathetic infrastructure, worst administration.. teachers make you to sit compulsorily in one of the worst Engineering lectures and even after doing all this they will not provide any placement. ',neg
'Electrical Engineering ... Faculty is just rubbish except 1 or 2... nayee nayee rules, no practical knowledge. Please aspiring engineering bros IG ke taraf bhi mat dekhna ',neg
'college seems to be good...but infrastructure is not much good!! :( ',neg
'Forget hangouts...all the money is going in xerox sheets. Actually, I\'m woandering to own one. There income is surely greater than engineers..!! ',neg
'This college doesn\'t have funds to arrange our farewell what a great college ',neg
'@--Unnmaned--are you serious? why dont you cite any evidence about this fact? facts are not represented properly.. they only consider students with over 60\% as eligible for placements. and what statistics they give you is of those students. What abo ',neg
'Placements here are like the stock markets: unpredictable. One fine morning you come to college in nicely pressed formals for interview, only to find that the company you depended on to save your ass (or make your life, depends which way you look at it) has decided to impale you on Seekh Kebab skewers, just becoz your TPO was being a lying bitch. Also, if you enter said bitch\'s cabin, u\'ll be looked upon like your some infectious disease that shud\'ve been eliminated during the Victorian era. My mummy\'s old sandals are more sensitive towards people than the placement staff here.The Head of IT dept. boasts he has worked with Intel. Given the kind of geezer that he is, I guess he was employed for housekeeping.Must\'ve accidently touched an old 8085uP with his pinky-finger while dusting the place. ',neg
'DEAR MR.TPO AND HIS FAT-A** ASSISTANT, GO DIE!! To the effect that Infosys cancelled placement at the last moment.. ',neg
'Agrred to all the points....the faculty here is only to torture and spoil your happiness..specially extc...college doesnt support their own students.. ',neg
'Picture this - you go to the washroom, and there\'s no water but its too late to have realized that - yes, it happens! ',neg
'Computers for the extc labs dont deserve to be in a school lab. The worst lab is the project lab where profs expect students to make NASA level projects but the computers are rubbish and the antivirus is even worse. The speeds are arouand 10 kbps max. I dont believe in stereotypes and so i\'ll tell you some profs who were decent and they are Hariprasad[Decent teaching but understands student problems and approachable],S Thalavoor[decent teaching and approachable]. Go to this college only if its nearby or if you get a college out of Mumbai. ',neg
'Worst part is you have to maintain 75\% ateandnce, and sit for lectures wher you wil 99\% of time not understand a word.... ',neg
